data,ipca_alimentos_mom,peso_alimentos,IE_essenciais_mom,inpc_mom,contrib_ipca_alimentos_pp
2019-01-01,0.9,100,0.9,0.3600404901765275,0.9
2019-02-01,0.78,100,0.78,0.5400335443545901,0.78
2019-03-01,1.37,100,1.37,0.7700740813926243,1.37
2019-04-01,0.63,100,0.63,0.5999630443882076,0.63
2019-05-01,-0.56,100,-0.56,0.1499396492911531,-0.56
2019-06-01,-0.25,100,-0.25,0.00991862980681546,-0.25
2019-07-01,0.01,100,0.01,0.09992496271526985,0.01
2019-08-01,-0.35,100,-0.35,0.12001458121080333,-0.35
2019-09-01,-0.43,100,-0.43,-0.05003949012000186,-0.43
2019-10-01,0.05,100,0.05,0.03997691053203578,0.05
2019-11-01,0.72,100,0.72,0.5400328277216815,0.72
2019-12-01,3.38,100,3.38,1.2200625911239493,3.38
2020-01-01,0.39,100,0.39,0.18991383233268877,0.39
2020-02-01,0.11,100,0.11,0.1699574556929484,0.11
2020-03-01,1.13,100,1.13,0.18009057550365526,1.13
2020-04-01,1.79,100,1.79,-0.2299555419285504,1.79
2020-05-01,0.24,100,0.24,-0.25005853601428596,0.24
2020-06-01,0.38,100,0.38,0.3000155876069277,0.38
2020-07-01,0.01,100,0.01,0.4400840310015086,0.01
2020-08-01,0.78,100,0.78,0.36006320219605925,0.78
2020-09-01,2.28,100,2.28,0.8700841244563051,2.28
2020-10-01,1.93,100,1.93,0.8899110448588043,1.93
2020-11-01,2.54,100,2.54,0.9499672056349384,2.54
2020-12-01,1.74,100,1.74,1.459917161309443,1.74
2021-01-01,1.02,100,1.02,0.2700675690960441,1.02
2021-02-01,0.27,100,0.27,0.8199950366438058,0.27
2021-03-01,0.13,100,0.13,0.8599736981623085,0.13
2021-04-01,0.4,100,0.4,0.3800704504184793,0.4
2021-05-01,0.44,100,0.44,0.959924919793731,0.44
2021-06-01,0.43,100,0.43,0.6000165034008909,0.43
2021-07-01,0.6,100,0.6,1.0199537982523488,0.6
2021-08-01,1.39,100,1.39,0.8800725136004495,1.39
2021-09-01,1.02,100,1.02,1.1999329811558823,1.02
2021-10-01,1.17,100,1.17,1.160059666703983,1.17
2021-11-01,-0.04,100,-0.04,0.8399707333979434,-0.04
2021-12-01,0.84,100,0.84,0.7300257291108059,0.84
2022-01-01,1.11,100,1.11,0.6699217608469255,1.11
2022-02-01,1.28,100,1.28,1.0000000000000009,1.28
2022-03-01,2.42,100,2.42,1.710029782203093,2.42
2022-04-01,2.06,100,2.06,1.0400501008126062,2.06
2022-05-01,0.48,100,0.48,0.4500452766410312,0.48
2022-06-01,0.8,100,0.8,0.6200467744023053,0.8
2022-07-01,1.3,100,1.3,-0.6000723915846273,1.3
2022-08-01,0.24,100,0.24,-0.30997300526350857,0.24
2022-09-01,-0.51,100,-0.51,-0.31999323787875733,-0.51
2022-10-01,0.72,100,0.72,0.47002244114877634,0.72
2022-11-01,0.53,100,0.53,0.37995593053785637,0.53
2022-12-01,0.66,100,0.66,0.690070403396903,0.66
2023-01-01,0.59,100,0.59,0.46002549898227496,0.59
2023-02-01,0.16,100,0.16,0.7699272673296731,0.16
2023-03-01,0.05,100,0.05,0.6400181473499966,0.05
2023-04-01,0.71,100,0.71,0.5299810313334374,0.71
2023-05-01,0.16,100,0.16,0.36004792874166913,0.16
2023-06-01,-0.66,100,-0.66,-0.09995270742726436,-0.66
2023-07-01,-0.46,100,-0.46,-0.09003292010159036,-0.46
2023-08-01,-0.85,100,-0.85,0.19999505826164832,-0.85
2023-09-01,-0.71,100,-0.71,0.10995179817607781,-0.71
2023-10-01,0.31,100,0.31,0.11997374487611179,0.31
2023-11-01,0.63,100,0.63,0.10000303916617437,0.63
2023-12-01,1.11,100,1.11,0.5499732531409451,1.11
2024-01-01,1.38,100,1.38,0.5699709838182354,1.38
2024-02-01,0.95,100,0.95,0.8099359771702286,0.95
2024-03-01,0.53,100,0.53,0.1900431568153893,0.53
2024-04-01,0.7,100,0.7,0.3700227760767616,0.7
2024-05-01,0.62,100,0.62,0.4600476407397469,0.62
2024-06-01,0.44,100,0.44,0.25002842827441807,0.44
2024-07-01,-1.0,100,-1.0,0.2600476123792106,-1.0
2024-08-01,-0.44,100,-0.44,-0.1399525390491263,-0.44
2024-09-01,0.5,100,0.5,0.48003021169165105,0.5
2024-10-01,1.06,100,1.06,0.6099776304415272,1.06
2024-11-01,1.55,100,1.55,0.3299809482697924,1.55
2024-12-01,1.18,100,1.18,0.4800359647743946,1.18
2025-01-01,0.96,100,0.96,0.0,0.96
2025-02-01,0.7,100,0.7,1.480027723071209,0.7
2025-03-01,1.17,100,1.17,0.5099950095953654,1.17
2025-04-01,0.82,100,0.82,0.4799580188107999,0.82
2025-05-01,0.17,100,0.17,0.3500469362858416,0.17
2025-06-01,-0.18,100,-0.18,0.23005960999291641,-0.18
2025-07-01,-0.27,100,-0.27,0.20996012488434523,-0.27
2025-08-01,-0.46,100,-0.46,-0.21005165596701403,-0.46
